,unique_id,target_id,regulator_id,disease_id,drug_id,unique_id,Regulation,drug2ferroptosis,drug2regulator,drug2target,regulator to target gene,regulator2ferroptosis,target_role4ferroptosis,Vivo model,ReferenceID,disease_detail_icd,disease_detail,in_vitro,Cell Line,pathway_id,Cell_progress
419,unique01334,P09917,.,ICD-11: NA07,Melatonin,unique01334,"Melatonin administration reduced the level of circPtpn14 (mmu_circ_0000130), which functioned by acting as a miR-351-5p sponge to positively regulate the expression of the ferroptosis-related 5-lipoxygenase (5-LOX). In addition, melatonin alleviated longterm sleep disorders and improved neurological function in Traumatic brain injury (TBI) mice. Thus, these findings suggested that melatonin might potentially protect the injured brain by attenuating ferroptosis and ER stress.",Suppressor,Down regulation,Down regulation,Up regulation,Driver,Driver,"Male C57BL/6 mice aged 6-8 weeks were purchased from the Chongqing Medical University Animal Experiment Center (Chongqing, China). Mice were randomly allocated into three groups including sham group, TBI group, and melatonin treatment group. 30 mice were used for MRI and cerebral blood flow (CBF) monitoring at the 3rd and 7th day, with 5 in each group; 15 mice were used for EEG detection at the 14th and 30th days, training and testing inwater mazeduring the 25th-30th days, with 5 in each group. 15 mice were used for brain water content determination on the 3rd day, with 5 in each group. 9 mice were used for RNA sequencing, with 3 in each group; 75 mice were used for brain tissue acquisition, with 5 in each group with 5 time points (1st, 3rd, 7th, 14th, and 30th day after the operation).",REF000604,ICD-11: NA07,Traumatic brain injury,CELL00543,bEnd3,Fatty acid metabolism (hsa01212); Ferroptosis (hsa04216),Cell ferroptosis
420,unique01335,P09917,MIMAT0000609,ICD-11: NA07,Melatonin,unique01335,"Melatonin administration reduced the level of circPtpn14 (mmu_circ_0000130), which functioned by acting as a miR-351-5p sponge to positively regulate the expression of the ferroptosis-related 5-lipoxygenase (5-LOX). In addition, melatonin alleviated longterm sleep disorders and improved neurological function in Traumatic brain injury (TBI) mice. Thus, these findings suggested that melatonin might potentially protect the injured brain by attenuating ferroptosis and ER stress.",Suppressor,Up regulation,Down regulation,Down regulation,Suppressor,Driver,"Male C57BL/6 mice aged 6-8 weeks were purchased from the Chongqing Medical University Animal Experiment Center (Chongqing, China). Mice were randomly allocated into three groups including sham group, TBI group, and melatonin treatment group. 30 mice were used for MRI and cerebral blood flow (CBF) monitoring at the 3rd and 7th day, with 5 in each group; 15 mice were used for EEG detection at the 14th and 30th days, training and testing inwater mazeduring the 25th-30th days, with 5 in each group. 15 mice were used for brain water content determination on the 3rd day, with 5 in each group. 9 mice were used for RNA sequencing, with 3 in each group; 75 mice were used for brain tissue acquisition, with 5 in each group with 5 time points (1st, 3rd, 7th, 14th, and 30th day after the operation).",REF000604,ICD-11: NA07,Traumatic brain injury,CELL00543,bEnd3,Fatty acid metabolism (hsa01212); Ferroptosis (hsa04216),Cell ferroptosis
421,unique00666,P36969,P28482,ICD-11: NB32,Salidroside,unique00666,"When we applied recombinant IL-17A in Sal+hyperoxia group mice, the protein levels of IL-17RA, Act1, TRAF6, p38 MAPK and p-p38 MAPK increased significantly, and the expression level of GPX4 significantly decreased. Therefore, we demonstrated that IL-17A/IL-17RA mediates ferroptosis of AECII, least in part, via Act1/TRAF6/p38 MAPK pathway, which is responsible for the protective effects of salidroside on hyperoxia-induced acute lung injury (HALI).",Inducer,Down regulation,Down regulation,Up regulation,Suppressor,Suppressor,"In our study, the 32 mice were randomly divided for four groups (n = 8 per group): (1) room-air-expose (sham), (2) hyperoxia-expose with Sal (Sal + Hyperoxia), (3) hyperoxia-exposed (Hyperoxia), (4) hyperoxia-exposed with Y-320 (an inhibitor of IL-17) (Y-320 + Hyperoxia). The mice exposed to normoxia groups were placed in room air with 21% oxygen, and the mice exposed to hyperoxia were placed in over 90% oxygen for 24 h. The continue exposure to over 90% oxygen was achieved in a self-made airtight box which attached to a medical oxygen cylinder, and the O2 level inside was continuously monitored with O2 analyzer, mice had free access to food and water. In the first three days before exposure to the hyperoxia, mice in the Sal + Hyperoxia group or Y-320 + Hyperoxia group were treated with Sal (100 mg/Kg) or Y-320 (2 mg/Kg) once orally every day, while the rest of groups were given equal isotonic saline. Based on the above experiments, eight 8-week-old KM mice were randomly divided into two groups: Sal + Hyperoxia group and Sal + Hyperoxia + IL-17A group. Sal + Hyperoxia + IL-17A group, mice were i.v. injected with 50 ug/kg of recombinant mouse IL-17A (210-17, Pepro Tech, USA). Animal were sacrificed following reperfusion, and lungs were stored at -80 until further experimental analysis.",REF000893,ICD-11: NB32,Hyperoxia induced acute lung injury,CELL10134,Lung tissues,Fatty acid metabolism (hsa01212); Ferroptosis (hsa04216),Cell ferroptosis
422,unique00631,P09601,Q14145,ICD-11: NB32,Astaxanthin,unique00631,"Astaxanthin protected LPS-induced cell inflammation and acute lung injury (ALI) in mice by inhibiting ferroptosis, and its effect was achieved through Keap1-Nrf2/HO-1 pathway. Therefore, our study indicates that ferroptosis will become a new target for the treatment of ALI, and astaxanthin is a potential drug for the treatment of ALI.",Suppressor,Down regulation,Up regulation,Down regulation,Driver,Suppressor,"6-week-Babl/c female mice were randomized to the following three groups of seven mice each: vehicle group, LPS group, Astaxanthin plus LPS group. Astaxanthin plus LPS group mice were pretreated with astaxanthin (20 mg/kg) byi.v injectionfor daily for 7 consecutive days. Astaxanthin was dissolved in 2%DMSO (vol/vol), 40% PEG-400 (vol/vol), 2% Tween 80 (vol/vol), and 56% PBS (vol/vol). On the last day, the mice were intraperitoneally injected with 5 mg/kg LPS or normal saline 2 h after the injection of astaxanthin. After 6 h of LPS stimulation, mice were euthanized to collect the BALF, and lung tissue samples. BALF was collected three times through a tracheal cannula with autoclaved normal saline, instilled up to a total volume of 1.8 ml.",REF000863,ICD-11: NB32,Acute lung injury,CELL00553,RAW264.7,Ferroptosis (hsa04216),Cell ferroptosis
423,unique00630,Q16236,Q14145,ICD-11: NB32,Astaxanthin,unique00630,"Astaxanthin protected LPS-induced cell inflammation and acute lung injury (ALI) in mice by inhibiting ferroptosis, and its effect was achieved through Keap1-Nrf2/HO-1 pathway. Therefore, our study indicates that ferroptosis will become a new target for the treatment of ALI, and astaxanthin is a potential drug for the treatment of ALI.",Suppressor,Down regulation,Up regulation,Down regulation,Driver,Marker/Suppressor,"6-week-Babl/c female mice were randomized to the following three groups of seven mice each: vehicle group, LPS group, Astaxanthin plus LPS group. Astaxanthin plus LPS group mice were pretreated with astaxanthin (20 mg/kg) byi.v injectionfor daily for 7 consecutive days. Astaxanthin was dissolved in 2%DMSO (vol/vol), 40% PEG-400 (vol/vol), 2% Tween 80 (vol/vol), and 56% PBS (vol/vol). On the last day, the mice were intraperitoneally injected with 5 mg/kg LPS or normal saline 2 h after the injection of astaxanthin. After 6 h of LPS stimulation, mice were euthanized to collect the BALF, and lung tissue samples. BALF was collected three times through a tracheal cannula with autoclaved normal saline, instilled up to a total volume of 1.8 ml.",REF000863,ICD-11: NB32,Acute lung injury,CELL00553,RAW264.7,Ferroptosis (hsa04216),Cell ferroptosis
424,unique00255,Q16236,Q14145,ICD-11: NB32,Panaxydol,unique00255,"Ferroptosis mediated inflammation in LPS-treated BEAS-2B cells, and panaxydol (PX) might ameliorate LPS-induced inflammation via inhibiting ferroptosis. PX attenuates ferroptosis against LPS-induced acute lung injury via Keap1-Nrf2/HO-1 pathway, and is a promising novel therapeutic candidate for acute lung injury.",Suppressor,Down regulation,Up regulation,Down regulation,Driver,Marker/Suppressor,"Specific pathogen-free (SPF) male C57BL/6 mice (6-8 weeks old, 20-24 g body weight) were purchased from the Experimental Animal Center, Anhui Medical University (Hefei, China). All mice were randomly divided into five groups (8 mice every group): control group, LPS group, PX+LPS group (administered 20 mg/kg PX), Fe+LPS group (administered 15 mg/kg Fe-citrate (III)), and PX+Fe+LPS group (administered 20 mg/kg PX and 15 mg/kg Fe-citrate (III)). Fe-citrate (III) was dissolved in stroke-physiological saline solution (SPSS). PX was dissolved in dimethyl sulfoxide (DMSO; Sigma-Aldrich), and further diluted in SPSS. Intravenous injection of Fe or/and intraperitoneal injection of PX were performed from day 0 to day 2. At 1 h after the final Fe and PX treatment, the mice were anesthetized with 30 mg/kg of pentobarbital sodium (Beijing Chemical Co., China) and then LPS (10 ug/mouse; InvivoGen, San Diego, CA, USA) or SPSS was injected into the trachea.",REF000342,ICD-11: NB32,Acute lung injury,CELL00076,BEAS-2B,Fatty acid metabolism (hsa01212); Ferroptosis (hsa04216); Pathways in cancer (hsa05200),Cell ferroptosis
425,unique00342,P09601,Q96EB6,ICD-11: NB91,Ulinastatin,unique00342,"Ulinastatin (UT1) plays a role in mitigation of Acetaminophen (APAP)-induced acute liver injury by inhibiting ferroptosis-induced lipid peroxide accumulation, and the effect of UT1 was mediated by the NRF2/HO-1 pathway and SIRT1 expression.",Suppressor,Up regulation,Up regulation,Up regulation,Suppressor,Suppressor,"Male C57BL/6 mice were from the Experimental Animal Center of Xian Jiaotong University. The animal experiment procedures were performed in accordance with the Guide of Laboratory Animal Care and Use from the United States National Institution of Health and were approved by the Laboratory Animal Care Committee (LACC) of Xian Jiaotong University, China (No. XJTULAC2017-207). Mice were initially housed for 7 days to adjust to the environment. The experimental design included five groups (n = 10 per group): the control group included the saline control (0.9% saline) group, and the test groups included APAP, APAP + UTI (5 x 10<sup>4</sup> units/kg and 1 x 10<sup>5</sup> units/kg), APAP + Fer-1 (10 mg/kg), and APAP + Res (50 mg/kg) treatments administered by tail vein or intraperitoneal injection.",REF000464,ICD-11: DB95.Z,Acetaminophen-induced liver injury,CELL00304,LO2,Fatty acid metabolism (hsa01212); Ferroptosis (hsa04216),Cell ferroptosis
426,unique00178,Q16236,Q14145,ICD-11: NB91,Clausenamide,unique00178,"(+)-clausenamide ((+)-CLA) specifically reacted with the Cys-151 residue of Keap1, which blocked Nrf2 ubiquitylation and resulted in an increased Nrf2 stability. Thus, (+)-CLA protects against acetaminophen-induced hepatotoxicity via inhibiting ferroptosis and activating the Keap1/Nrf2 pathway in a Cys-151-dependent manner.",Suppressor,Down regulation,Up regulation,Down regulation,Driver,Marker/Suppressor,"Male C57BL/6 mice aged 8-10 weeks were purchased from Guangdong Experimental Animal Center (Guangzhou, China). The animals were maintained on a 12 h light-dark cycle in a regulated temperature and humidity environment for 1 week before drug administration. (+)-CLA (50 mg/kg/day, i.g.) or fer-1 (2.5 umol/kg/day, i.p.)were administered for 7 consecutive days. To induce liver injury, mice were injected with erastin (100 mg/kg/day, i.p., twice a day) on both the 6th and 7th day, or a single dose of APAP (600 mg/kg/day, i.p.) on the 7th day after overnight food deprivation. The serum and livers were obtained for analysis.",REF000236,ICD-11: DB95.Z,Acetaminophen-induced liver injury,CELL00315; CELL00017; CELL00048; CELL00291,Hepa RG; SMMC-7721; HepaG2; Bel-7402,Fatty acid metabolism (hsa01212); Ferroptosis (hsa04216); Pathways in cancer (hsa05200),Cell ferroptosis
427,unique00565,Q16236,Q14145,ICD-11: NB91,Baicalin,unique00565,"Baicalin-pretreated MSCs (Ba-Exo) exerts a protective effect on liver function and activates the Keap1-NRF2 pathway via P62 (SQSTM1), thereby inhibiting ROS production and lipid peroxide-induced ferroptosis. Therefore, baicalin pretreatment is an effective and promising approach in optimizing the therapeutic efficacy of Exo in acute liver injury (ALI).",Inducer,Up regulation,Down regulation,Down regulation,Driver,Marker/Suppressor,"C57BL/6 mice at 6-8 weeks were intraperitoneally injected with D-GalN/LPS (1772-03-8/L2880, Sigma-Aldrich, USA) at a dose of 700 mg/kg and 10 ug/kg, respectively. The constructed D-GaIN/LPS-induced ALI model mice were named the model group, and the normal mice injected with phosphate-buffered saline (PBS) were named the blank group. After 1 h of LPS/D-GalN treatment, Exo and Ba-Exo (150 ug/mice) were injected into the tail vein of the mice in the Exo and Ba-Exo groups, respectively. Mice were sacrificed via anesthesia overdose 12 h after the intervention. Half of the liver tissue was fixed in paraformaldehyde, while the other half was frozen at 80 . Peripheral blood serum was stored at -80 .",REF000793,ICD-11: NB91,Acute liver injury,.,Exosomes,Pathways in cancer (hsa05200); Ferroptosis (hsa04216),Cell ferroptosis
428,unique00564,Q16236,Q13501,ICD-11: NB91,Baicalin,unique00564,"Baicalin-pretreated MSCs (Ba-Exo) exerts a protective effect on liver function and activates the Keap1-NRF2 pathway via P62 (SQSTM1), thereby inhibiting ROS production and lipid peroxide-induced ferroptosis. Therefore, baicalin pretreatment is an effective and promising approach in optimizing the therapeutic efficacy of Exo in acute liver injury (ALI).",Inducer,Up regulation,Down regulation,Down regulation,Driver,Marker/Suppressor,"C57BL/6 mice at 6-8 weeks were intraperitoneally injected with D-GalN/LPS (1772-03-8/L2880, Sigma-Aldrich, USA) at a dose of 700 mg/kg and 10 ug/kg, respectively. The constructed D-GaIN/LPS-induced ALI model mice were named the model group, and the normal mice injected with phosphate-buffered saline (PBS) were named the blank group. After 1 h of LPS/D-GalN treatment, Exo and Ba-Exo (150 ug/mice) were injected into the tail vein of the mice in the Exo and Ba-Exo groups, respectively. Mice were sacrificed via anesthesia overdose 12 h after the intervention. Half of the liver tissue was fixed in paraformaldehyde, while the other half was frozen at 80 . Peripheral blood serum was stored at -80 .",REF000793,ICD-11: NB91,Acute liver injury,.,Exosomes,Pathways in cancer (hsa05200); Ferroptosis (hsa04216),Cell ferroptosis
429,unique00340,Q16236,Q96EB6,ICD-11: NB91,Ulinastatin,unique00340,"Ulinastatin plays a role in mitigation of Acetaminophen (APAP)-induced acute liver injury by inhibiting ferroptosis-induced lipid peroxide accumulation, and the effect of UT1 was mediated by the NRF2/HO-1 pathway and SIRT1 expression.",Suppressor,Up regulation,Up regulation,Up regulation,Suppressor,Marker/Suppressor,"Male C57BL/6 mice were from the Experimental Animal Center of Xian Jiaotong University. The animal experiment procedures were performed in accordance with the Guide of Laboratory Animal Care and Use from the United States National Institution of Health and were approved by the Laboratory Animal Care Committee (LACC) of Xian Jiaotong University, China (No. XJTULAC2017-207). Mice were initially housed for 7 days to adjust to the environment. The experimental design included five groups (n = 10 per group): the control group included the saline control (0.9% saline) group, and the test groups included APAP, APAP + UTI (5 x 10<sup>4</sup> units/kg and 1 x 10<sup>5</sup> units/kg), APAP + Fer-1 (10 mg/kg), and APAP + Res (50 mg/kg) treatments administered by tail vein or intraperitoneal injection.",REF000464,ICD-11: NB91,Liver injury,CELL00304,LO2,Ferroptosis (hsa04216); Fatty acid metabolism (hsa01212),Cell ferroptosis
430,unique00341,Q16236,Q96EB6,ICD-11: NB91,Ulinastatin,unique00341,"Ulinastatin plays a role in mitigation of Acetaminophen (APAP)-induced acute liver injury by inhibiting ferroptosis-induced lipid peroxide accumulation, and the effect of UT1 was mediated by the NRF2/HO-1 pathway and SIRT1 expression.",Suppressor,Up regulation,Up regulation,Up regulation,Suppressor,Marker/Suppressor,"Male C57BL/6 mice were from the Experimental Animal Center of Xian Jiaotong University. The animal experiment procedures were performed in accordance with the Guide of Laboratory Animal Care and Use from the United States National Institution of Health and were approved by the Laboratory Animal Care Committee (LACC) of Xian Jiaotong University, China (No. XJTULAC2017-207). Mice were initially housed for 7 days to adjust to the environment. The experimental design included five groups (n = 10 per group): the control group included the saline control (0.9% saline) group, and the test groups included APAP, APAP + UTI (5 x 10<sup>4</sup> units/kg and 1 x 10<sup>5</sup> units/kg), APAP + Fer-1 (10 mg/kg), and APAP + Res (50 mg/kg) treatments administered by tail vein or intraperitoneal injection.",REF000464,ICD-11: DB95.Z,Acetaminophen-induced liver injury,CELL00304,LO2,Fatty acid metabolism (hsa01212); Ferroptosis (hsa04216),Cell ferroptosis
431,unique00610,Q16236,Q14145,ICD-11: NB91,Xiaojianzhong,unique00610,"Xiaojianzhong (XJZ) significantly counteracted aspirin-induced gastric mucosal injury and inhibited oxidative stress and ferroptosis in mice. Upon examining SQSTM1/p62(p62)/ Kelch-like ECH-associated protein 1 (Keap1)/Nuclear Factor erythroid 2-Related Factor 2 (Nrf2), a well-known signaling pathway involved in the regulation of oxidative stress and ferroptosis, we found that its activation was significantly inhibited by aspirin treatment and that this signaling pathway was activated after XJZ intervention.",Suppressor,Down regulation,Up regulation,Down regulation,Driver,Marker/Suppressor,"C57BL/6 mice (Male, 6-8 weeks old, 20 g&plusmn; 2 g) were purchased from Chengdu Yaokang Biotechnology Co., Ltd. (Chengdu, China). All animals were housed in the animal room of Shaanxi University ofTraditional Chinese Medicine, at a temperature of 22 &plusmn; 2 and a humidity of 40% &plusmn; 5%, alternating between light and dark. In the study, the mice were randomly divided into six groups (n = 10 in each group): the blank group, model group,XJZ high dose group, XJZ medium dose group, XJZ low dose group, and positive control (omeprazole) group. The mice in the model group were given Aspirin (300 mg/kg) via gavage for 14 days; the mice in the XJZ high dose group, XJZ medium dose group, and XJZ low dose group were given aspirin (300 mg/kg) by gavage in the morning and three different concentrations (12 g/kg, 6 g/kg, or 3 g/kg) of XJZ decoction by gavage in the afternoon; the mice in the positive control group were given aspirin (300 mg/kg) by gavage in the morning andomeprazole(20 mg/kg) by gavage in the afternoon. After the model was successfully constructed, the mice were anesthetized with isoflurane and gastric tissues were extracted for analysis.",REF000836,ICD-11: NB91,Liver injury,CELL10015,Gastric tissues,Ferroptosis (hsa04216); Fatty acid metabolism (hsa01212),Cell ferroptosis
432,unique00369,O60488,Q96EB6,ICD-11: NB92,Cadmium,unique00369,"CdCl2-initiated injury was found to result from the induction of not only apoptosis but also ferroptosis, as evidenced by the increased iron content, ROS production, and mitochondrial membrane potential along with changes in the expressions of iron death-related genes (FTH1, GPX4, ASCL4, PTGS2, and NOX1) and levels of caspase9, Bax, and Bcl-2 proteins. It is possible that the damage caused by cadmium results from the induced ferroptosis and apoptosis via the miR-34a-5p/ Sirt1 axis.",Inducer,Down regulation,Up regulation,Down regulation,Suppressor,Driver,.,REF000507,ICD-11: NB92,CdCl2-induced renal toxicity,CELL00597,PC12,Ferroptosis (hsa04216); Apoptosis (hsa04210),Cell ferroptosis; Cell apoptosis
433,unique01256,O60488,MIMAT0000255,ICD-11: NB92,Cadmium,unique01256,"CdCl2-initiated injury was found to result from the induction of not only apoptosis but also ferroptosis, as evidenced by the increased iron content, ROS production, and mitochondrial membrane potential along with changes in the expressions of iron death-related genes (FTH1, GPX4, ASCL4, PTGS2, and NOX1) and levels of caspase9, Bax, and Bcl-2 proteins. It is possible that the damage caused by cadmium results from the induced ferroptosis and apoptosis via the miR-34a-5p/Sirt1 axis.",Inducer,Up regulation,Up regulation,Up regulation,Driver,Driver,.,REF000507,ICD-11: NB92,CdCl2-induced renal toxicity,CELL00597,PC12,Ferroptosis (hsa04216); Apoptosis (hsa04210),Cell ferroptosis; Cell apoptosis
434,unique00372,P02794,Q96EB6,ICD-11: NB92,Cadmium,unique00372,"CdCl2-initiated injury was found to result from the induction of not only apoptosis but also ferroptosis, as evidenced by the increased iron content, ROS production, and mitochondrial membrane potential along with changes in the expressions of iron death-related genes (FTH1, GPX4, ASCL4, PTGS2, and NOX1) and levels of caspase9, Bax, and Bcl-2 proteins. It is possible that the damage caused by cadmium results from the induced ferroptosis and apoptosis via the miR-34a-5p/ Sirt1 axis.",Inducer,Down regulation,Down regulation,Up regulation,Suppressor,Marker/Suppressor,.,REF000507,ICD-11: NB92,CdCl2-induced renal toxicity,CELL00597,PC12,Ferroptosis (hsa04216); Apoptosis (hsa04210),Cell ferroptosis; Cell apoptosis
435,unique01259,P02794,MIMAT0000255,ICD-11: NB92,Cadmium,unique01259,"CdCl2-initiated injury was found to result from the induction of not only apoptosis but also ferroptosis, as evidenced by the increased iron content, ROS production, and mitochondrial membrane potential along with changes in the expressions of iron death-related genes (FTH1, GPX4, ASCL4, PTGS2, and NOX1) and levels of caspase9, Bax, and Bcl-2 proteins. It is possible that the damage caused by cadmium results from the induced ferroptosis and apoptosis via the miR-34a-5p/Sirt1 axis.",Inducer,Up regulation,Down regulation,Down regulation,Driver,Marker/Suppressor,.,REF000507,ICD-11: NB92,CdCl2-induced renal toxicity,CELL00597,PC12,Ferroptosis (hsa04216); Apoptosis (hsa04210),Cell ferroptosis; Cell apoptosis
436,unique00373,P36969,Q96EB6,ICD-11: NB92,Cadmium,unique00373,"CdCl2-initiated injury was found to result from the induction of not only apoptosis but also ferroptosis, as evidenced by the increased iron content, ROS production, and mitochondrial membrane potential along with changes in the expressions of iron death-related genes (FTH1, GPX4, ASCL4, PTGS2, and NOX1) and levels of caspase9, Bax, and Bcl-2 proteins. It is possible that the damage caused by cadmium results from the induced ferroptosis and apoptosis via the miR-34a-5p/ Sirt1 axis.",Inducer,Down regulation,Down regulation,Up regulation,Suppressor,Suppressor,.,REF000507,ICD-11: NB92,CdCl2-induced renal toxicity,CELL00597,PC12,Ferroptosis (hsa04216); Apoptosis (hsa04210),Cell ferroptosis; Cell apoptosis
437,unique01260,P36969,MIMAT0000255,ICD-11: NB92,Cadmium,unique01260,"CdCl2-initiated injury was found to result from the induction of not only apoptosis but also ferroptosis, as evidenced by the increased iron content, ROS production, and mitochondrial membrane potential along with changes in the expressions of iron death-related genes (FTH1, GPX4, ASCL4, PTGS2, and NOX1) and levels of caspase9, Bax, and Bcl-2 proteins. It is possible that the damage caused by cadmium results from the induced ferroptosis and apoptosis via the miR-34a-5p/Sirt1 axis.",Inducer,Up regulation,Down regulation,Down regulation,Driver,Suppressor,.,REF000507,ICD-11: NB92,CdCl2-induced renal toxicity,CELL00597,PC12,Ferroptosis (hsa04216); Apoptosis (hsa04210),Cell ferroptosis; Cell apoptosis
438,unique00092,P36969,P10275,ICD-11: NB92,Furosine dihydrochloride,unique00092,"Furosine might decrease the activity of GPX4 via AR, thereby disrupting the conversion of peroxides into non-toxic reduced forms. Once GPX4 loses its reduction activity, excessivelipid peroxidationin kidney cells can lead to cell death by ferroptosis. To conclude, the study demonstrated for the first time the toxicity of furosine toward kidney injury.",Inducer,Up regulation,Down regulation,Down regulation,Driver,Suppressor,"A total of 60 ICR female mice (20 &plusmn; 2g, 5 mice/group) were divided into 12 groups (control and 10 furosine treatment groups). Furosine was dissolved in distilled water and a dose of 0.24 g/kg b.w. was administered by gavage or tail vein injection (0.2 mL volume per mouse) once at the beginning. This dose was chosen based on the median lethal dose (LD50) determined in previous acute toxicity experiments, in which the LD50 of furosine was 1.6 g/kg b.w. Mice were fasted for 4 h prior to dosing; animals were sacrificed at 0 (controls), 0.25, 0.5, 1, 2, 3, 4, 6, 8, 10, 12 h after administration, and kidney tissue was dissected and blood samples were collected.",REF000147,ICD-11: NB92,Kidney injury,CELL10143,Primary kidney cells,Fatty acid metabolism (hsa01212),Cell ferroptosis
439,unique00370,Q9Y5S8,Q96EB6,ICD-11: NB92,Cadmium,unique00370,"CdCl2-initiated injury was found to result from the induction of not only apoptosis but also ferroptosis, as evidenced by the increased iron content, ROS production, and mitochondrial membrane potential along with changes in the expressions of iron death-related genes (FTH1, GPX4, ASCL4, PTGS2, and NOX1) and levels of caspase9, Bax, and Bcl-2 proteins. It is possible that the damage caused by cadmium results from the induced ferroptosis and apoptosis via the miR-34a-5p/ Sirt1 axis.",Inducer,Down regulation,Up regulation,Down regulation,Suppressor,Driver,.,REF000507,ICD-11: NB92,CdCl2-induced renal toxicity,CELL00597,PC12,Ferroptosis (hsa04216); Apoptosis (hsa04210),Cell ferroptosis; Cell apoptosis
440,unique01257,Q9Y5S8,MIMAT0000255,ICD-11: NB92,Cadmium,unique01257,"CdCl2-initiated injury was found to result from the induction of not only apoptosis but also ferroptosis, as evidenced by the increased iron content, ROS production, and mitochondrial membrane potential along with changes in the expressions of iron death-related genes (FTH1, GPX4, ASCL4, PTGS2, and NOX1) and levels of caspase9, Bax, and Bcl-2 proteins. It is possible that the damage caused by cadmium results from the induced ferroptosis and apoptosis via the miR-34a-5p/Sirt1 axis.",Inducer,Up regulation,Up regulation,Up regulation,Driver,Driver,.,REF000507,ICD-11: NB92,CdCl2-induced renal toxicity,CELL00597,PC12,Ferroptosis (hsa04216); Apoptosis (hsa04210),Cell ferroptosis; Cell apoptosis
441,unique00077,Q16236,P31749,ICD-11: NB92,Roxadustat,unique00077,"Roxadustat (FG-4592) pretreatment is achieved mainly by decreasing ferroptosis at the early stage of FA-induced kidney injury via Akt/GSK-3-mediated Nrf2 activation, which retards the fibrosis progression.",Suppressor,Up regulation,Up regulation,Up regulation,Suppressor,Marker/Suppressor,"C57BL/6 male mice, 6 to 8 weeks old, were purchased from Liaoning Changsheng Biotechnology Co. (Liaoning, China). The animal experiment was conducted in three parts. In the first part, mice were randomly divided into 4 groups (n = 12/group): (1) control group that received an intraperitoneal injection of saline, (2) FG-4592 group that received intraperitoneal injection of FG-4592 once (10 mg/kg, dissolved in DMSO at 50 mg/ml and then further diluted in sterile phosphate-buffered saline to 1 mg/ml), (3) FA group that received intraperitoneal injection of a single dose of FA (250 mg/kg, dissolved in 0.3 M sodium bicarbonate), and (4) FA + FG-4592 group that received FG-4592 two days prior to FA single-dose injection. Kidney specimens and blood samples were collected on the second day (n = 6/group) and the fourteenth day (n = 6/group) after FA injection for further examination. In the second part, mice were treated with a ferroptosis inhibitor (Fer-1). In the third part, mice were treated with a PI3K inhibitor (wortmannin).",REF000133,ICD-11: NB92,FA-induced kidney injury,CELL10148,Renal Tissue,Fatty acid metabolism (hsa01212); Ferroptosis (hsa04216); PI3K-Akt signaling pathway (hsa04151),Cell ferroptosis
442,unique00371,P35354,Q96EB6,ICD-11: NB92,Cadmium,unique00371,"CdCl2-initiated injury was found to result from the induction of not only apoptosis but also ferroptosis, as evidenced by the increased iron content, ROS production, and mitochondrial membrane potential along with changes in the expressions of iron death-related genes (FTH1, GPX4, ASCL4, PTGS2, and NOX1) and levels of caspase9, Bax, and Bcl-2 proteins. It is possible that the damage caused by cadmium results from the induced ferroptosis and apoptosis via the miR-34a-5p/ Sirt1 axis.",Inducer,Down regulation,Up regulation,Down regulation,Suppressor,Marker,.,REF000507,ICD-11: NB92,CdCl2-induced renal toxicity,CELL00597,PC12,Ferroptosis (hsa04216); Apoptosis (hsa04210),Cell ferroptosis; Cell apoptosis
443,unique01258,P35354,MIMAT0000255,ICD-11: NB92,Cadmium,unique01258,"CdCl2-initiated injury was found to result from the induction of not only apoptosis but also ferroptosis, as evidenced by the increased iron content, ROS production, and mitochondrial membrane potential along with changes in the expressions of iron death-related genes (FTH1, GPX4, ASCL4, PTGS2, and NOX1) and levels of caspase9, Bax, and Bcl-2 proteins. It is possible that the damage caused by cadmium results from the induced ferroptosis and apoptosis via the miR-34a-5p/Sirt1 axis.",Inducer,Up regulation,Up regulation,Up regulation,Driver,Marker,.,REF000507,ICD-11: NB92,CdCl2-induced renal toxicity,CELL00597,PC12,Ferroptosis (hsa04216); Apoptosis (hsa04210),Cell ferroptosis; Cell apoptosis
444,unique00455,P09601,Q16665,ICD-11: NB9Z,Diethylhexylphthalate,unique00455,"Di-(2-ethylhexyl) phthalate (DEHP) exposure led to testicular injury including excessive ROS accumulation. Prepubertal DEHP exposure induces ferroptosis in mouse testes. In particular, MEHP exposure leads to ferroptosis in Leydig and Sertoli cells via the HIF-1/HO-1 signaling pathway.",Inducer,Up regulation,Up regulation,Up regulation,Driver,Driver,"Specific pathogen-free (SPF) pregnant C57BL/6 mice were purchased from the Experimental Animal Center of Chongqing Medical University. Under SPF conditions, all mice had free access to food and water. All mice were fed under a 12-hour light/dark cycle at 25 &plusmn; 2 , and the relative humidity was 50 &plusmn; 5%. Male neonatal mice were selected at postnatal day (PND) 21. Since we aimed to mimic the prepubertal testicular injury induced byDEHPexposure, all male mice were randomly divided into four groups and treated by oral gavage from PND22 to PND35 with corn oil (Aladdin, C116023, China), or DEHP at a dose of 100 mg/kg/day (D100), 250 mg/kg/day (D250), or 500 mg/kg/day (D500).",REF000598,ICD-11: NB9Z,Testicular injury,CELL00558; CELL00559,Testicular injury; TM4 Sertoli,Fatty acid metabolism (hsa01212); Ferroptosis (hsa04216); HIF-1 signaling pathway (hsa04066),Cell ferroptosis
